ID,Gender,Race,Ethnicity,Age,Income
206862,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),33.0,565.5
206895,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),27.0,733.0
207502,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),58.666666666666664,600.0
207506,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.5,2000.0
207787,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),37.0,740.0
208659,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),27.0,600.0
208782,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),59.0,557.0
209331,Male,White (HUD),Hispanic/Latino (HUD),57.0,1180.0
209444,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0,882.0
210475,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),68.5,664.0
210601,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.0,705.0
211088,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.333333333333336,654.0
211998,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.0,528.0
212660,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),49.0,1060.0
212916,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0,718.0
213268,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0,255.5
213477,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.0,800.0
214111,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),65.0,600.0
214669,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),26.5,2000.0
215048,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.0,500.0
215080,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),32.0,600.0
215248,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0,370.5
215484,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.0,350.0
215739,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),61.0,735.0
215821,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0,800.0
216598,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.4,367.0
216983,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,1000.0
217257,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.8,1000.0
217579,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.666666666666664,1300.0
217680,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0,1100.0
217728,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.0,600.0
217775,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.0,733.0
217790,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0,750.0
217836,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.5,1600.0
217907,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.5,840.0
218041,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),37.0,600.0
218081,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.714285714285715,400.0
218168,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),30.0,770.0
218171,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0,733.0
218215,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),46.0,1181.0
218475,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0,570.0
218579,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),34.0,375.0
219636,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0,1100.0
219671,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0,500.0
220296,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0,1500.0
222730,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.142857142857146,730.0
222747,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0,479.0
224968,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0,1400.0
225552,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0,1440.0
226049,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),30.0,694.0
226914,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0,733.0
227088,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),54.0,850.0
227732,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.5,771.0
230111,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0,150.0
230119,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,1600.0
231198,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.4,1200.0
232698,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),41.0,700.0
232921,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0,500.0
233199,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,2345.0
233619,Male,White (HUD),Hispanic/Latino (HUD),41.666666666666664,1866.6666666666667
248566,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,1200.0
248846,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0,700.0
248984,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0,674.0
